farmStrID,d0,d1,t0,t1,size,sizeInf,sizeDead,sizeRemoved
F54,0,33,12,792,1849,0,0,0
F575,0,33,12,794,621,0,0,0
F620,0,33,12,796,2482,0,0,0
F820,0,33,12,796,684,0,0,0
F522,0,33,12,796,1919,0,0,0
F855,0,33,12,806,885,0,0,0
F599,0,33,12,809,1211,0,0,0
F1047,0,33,12,810,742,0,0,0
F1174,0,33,12,812,1118,0,0,0
F253,0,33,12,813,2009,0,0,0
F574,0,33,12,813,1665,0,0,0
F17,0,33,12,814,1102,0,0,0
F644,0,33,12,814,688,0,0,0
F841,0,34,12,816,1592,0,0,0
F1019,0,34,12,817,816,0,0,0
F921,0,34,12,817,1548,0,0,0
F726,0,34,12,817,1570,0,0,0
F1041,0,34,12,817,1632,0,0,0
F1189,0,34,12,818,792,0,0,0
F1086,0,34,12,818,1176,0,0,0
F71,0,34,12,818,1059,0,0,0
F995,0,34,12,818,1436,0,0,0
F578,0,34,12,818,1518,0,0,0
F894,0,34,12,819,809,0,0,0
F836,0,34,12,819,803,0,0,0
F1056,0,34,12,819,884,0,0,0
F210,0,34,12,819,2779,0,0,0
F462,0,34,12,819,937,0,0,0
F1037,0,34,12,820,1161,0,0,0
F792,0,34,12,820,1014,0,0,0
F1063,0,34,12,820,642,0,0,0
F1069,0,34,12,820,650,0,0,0
F655,0,34,12,821,1565,0,0,0
F4,0,34,12,821,1668,0,0,0
F127,0,34,12,821,1191,0,0,0
F1111,0,34,12,821,1109,0,0,0
F955,0,34,12,828,1457,0,0,0
F499,0,34,12,828,1210,0,0,0
F919,0,34,12,829,1417,0,0,0
F58,0,34,12,830,644,0,0,0
F1018,0,34,12,832,1316,0,0,0
F404,0,34,12,832,1493,0,0,0
F156,0,34,12,832,1800,0,0,0
F962,0,34,12,833,1376,0,0,0
F830,0,34,12,833,1059,0,0,0
F637,0,34,12,834,1977,0,0,0
F481,0,34,12,835,1129,0,0,0
F914,0,34,12,836,1132,0,0,0
F523,0,34,12,836,1252,0,0,0
F265,0,34,12,838,2425,0,0,0
F1025,0,34,12,838,721,0,0,0
F114,0,34,12,838,1894,0,0,0
F402,0,34,12,838,1185,0,0,0
F104,0,34,12,839,1448,0,0,0
F90,0,35,12,840,1414,0,0,0
F352,0,35,12,840,938,0,0,0
F877,0,35,12,841,932,0,0,0
F1106,0,35,12,842,1841,0,0,0
F984,0,35,12,842,710,0,0,0
F1078,0,35,12,842,1514,0,0,0
F935,0,35,12,842,2318,0,0,0
F596,0,35,12,843,1521,0,0,0
F997,0,35,12,844,1397,0,0,0
F579,0,35,12,844,1796,0,0,0
F1170,0,35,12,844,1189,0,0,0
F118,0,35,12,844,1149,0,0,0
F733,0,35,12,844,665,0,0,0
F688,0,35,12,845,1026,0,0,0
F16,0,35,12,845,1078,0,0,0
F789,0,35,12,845,2299,0,0,0
F493,0,35,12,845,1347,0,0,0
F828,0,35,12,845,1323,0,0,0
F429,0,35,12,845,1440,0,0,0
F1058,0,35,12,845,1546,0,0,0
F143,0,35,12,845,1438,0,0,0
F1140,0,35,12,855,1953,0,0,0
F978,0,35,12,856,1045,0,0,0
F591,0,35,12,857,1222,0,0,0
F891,0,35,12,857,941,0,0,0
F50,0,35,12,858,1240,0,0,0
F1057,0,35,12,858,959,0,0,0
F825,0,35,12,859,1017,0,0,0
F606,0,35,12,860,1126,0,0,0
F983,0,35,12,861,1519,0,0,0
F827,0,35,12,861,778,0,0,0
F435,0,35,12,862,1128,0,0,0
F106,0,35,12,863,1440,0,0,0
F526,0,35,12,863,691,0,0,0
F1105,0,35,12,863,1054,0,0,0
F969,0,36,12,865,920,0,0,0
F565,0,36,12,865,2017,0,0,0
F479,0,36,12,865,1393,0,0,0
F422,0,36,12,866,655,0,0,0
F1024,0,36,12,866,1026,0,0,0
F1003,0,36,12,867,782,0,0,0
F342,0,36,12,867,2507,0,0,0
F1110,0,36,12,867,1890,0,0,0
F84,0,36,12,868,985,0,0,0
F1087,0,36,12,868,1831,0,0,0
F21,0,36,12,868,1739,0,0,0
F354,0,36,12,868,1430,0,0,0
F1157,0,36,12,869,1376,0,0,0
F108,0,36,12,869,1221,0,0,0
F996,0,36,12,869,1398,0,0,0
F1000,0,36,12,869,728,0,0,0
F147,0,36,12,869,1162,0,0,0
F298,0,36,12,869,2285,0,0,0
F215,0,36,12,869,908,0,0,0
F472,0,36,12,869,810,0,0,0
F751,0,36,12,869,2319,0,0,0
F534,0,36,12,876,1941,0,0,0
F916,0,36,12,877,1712,0,0,0
F910,0,36,12,878,1259,0,0,0
F1183,0,36,12,878,890,0,0,0
F881,0,36,12,880,1696,0,0,0
F304,0,36,12,882,1705,0,0,0
F1073,0,36,12,884,1404,0,0,0
F1096,0,36,12,885,1160,0,0,0
F1081,0,36,12,885,2095,0,0,0
F1144,0,36,12,886,1780,0,0,0
F1061,0,36,12,887,1753,0,0,0
F635,0,36,12,887,1097,0,0,0
F65,0,37,12,888,859,0,0,0
F977,0,37,12,888,1651,0,0,0
F294,0,37,12,888,1549,0,0,0
F494,0,37,12,888,1324,0,0,0
F1122,0,37,12,888,1736,0,0,0
F804,0,37,12,888,1353,0,0,0
F12,0,37,12,889,1728,0,0,0
F1059,0,37,12,889,1080,0,0,0
F300,0,37,12,889,879,0,0,0
F373,0,37,12,889,1637,0,0,0
F625,0,37,12,890,665,0,0,0
F1013,0,37,12,890,2073,0,0,0
F248,0,37,12,890,1576,0,0,0
F679,0,37,12,890,2130,0,0,0
F1115,0,37,12,891,946,0,0,0
F951,0,37,12,891,892,0,0,0
F407,0,37,12,892,1302,0,0,0
F817,0,37,12,892,2287,0,0,0
F858,0,37,12,892,2391,0,0,0
F452,0,37,12,892,1505,0,0,0
F230,0,37,12,893,624,0,0,0
F831,0,37,12,893,2160,0,0,0
F277,0,37,12,893,2392,0,0,0
F587,0,37,12,893,2853,0,0,0
F102,0,37,12,900,2239,0,0,0
F1084,0,37,12,907,2008,0,0,0
F772,0,37,12,907,1272,0,0,0
F865,0,37,12,908,1113,0,0,0
F427,0,37,12,909,1470,0,0,0
F10,0,37,12,911,1426,0,0,0
F1092,0,37,12,911,723,0,0,0
F639,0,38,12,912,1421,0,0,0
F1151,0,38,12,912,3759,0,0,0
F856,0,38,12,912,1470,0,0,0
F63,0,38,12,912,789,0,0,0
F1128,0,38,12,912,2149,0,0,0
F893,0,38,12,912,1047,0,0,0
F477,0,38,12,912,1591,0,0,0
F569,0,38,12,912,803,0,0,0
F946,0,38,12,913,732,0,0,0
F122,0,38,12,913,1481,0,0,0
F178,0,38,12,913,1743,0,0,0
F1160,0,38,12,914,2130,0,0,0
F823,0,38,12,914,833,0,0,0
F443,0,38,12,914,1085,0,0,0
F940,0,38,12,914,2789,0,0,0
F847,0,38,12,915,1220,0,0,0
F183,0,38,12,915,936,0,0,0
F348,0,38,12,915,665,0,0,0
F770,0,38,12,915,2127,0,0,0
F1034,0,38,12,915,2010,0,0,0
F23,0,38,12,916,2615,0,0,0
F821,0,38,12,916,1517,0,0,0
F632,0,38,12,916,1451,0,0,0
F517,0,38,12,916,1022,0,0,0
F583,0,38,12,916,2295,0,0,0
F912,0,38,12,917,1873,0,0,0
F103,0,38,12,917,796,0,0,0
F291,0,38,12,917,1225,0,0,0
F1194,0,38,12,924,1402,0,0,0
F711,0,38,12,925,2403,0,0,0
F844,0,38,12,927,1376,0,0,0
F602,0,38,12,928,1766,0,0,0
F876,0,38,12,930,2261,0,0,0
F1148,0,38,12,931,879,0,0,0
F1158,0,38,12,931,1638,0,0,0
F580,0,38,12,932,1451,0,0,0
F1113,0,38,12,932,2333,0,0,0
F1054,0,38,12,932,1515,0,0,0
F990,0,38,12,933,1016,0,0,0
F530,0,38,12,933,898,0,0,0
F934,0,38,12,934,1182,0,0,0
F3,0,38,12,935,1233,0,0,0
F963,0,39,12,936,2169,0,0,0
F672,0,39,12,938,931,0,0,0
F1009,0,39,12,938,1933,0,0,0
F36,0,39,12,938,888,0,0,0
F486,0,39,12,938,767,0,0,0
F195,0,39,12,938,1506,0,0,0
F288,0,39,12,938,1486,0,0,0
F59,0,39,12,939,1096,0,0,0
F39,0,39,12,939,784,0,0,0
F282,0,39,12,939,906,0,0,0
F585,0,39,12,939,1185,0,0,0
F109,0,39,12,940,1180,0,0,0
F1153,0,39,12,940,1843,0,0,0
F731,0,39,12,940,2176,0,0,0
F403,0,39,12,941,632,0,0,0
F724,0,39,12,941,1760,0,0,0
F214,0,39,12,941,1120,0,0,0
F1164,0,39,12,941,1485,0,0,0
F742,0,39,12,941,1449,0,0,0
F692,0,39,12,941,1079,0,0,0
F251,0,39,12,941,1623,0,0,0
F1116,0,39,12,948,730,0,0,0
F389,0,39,12,956,1682,0,0,0
F93,0,39,12,956,1273,0,0,0
F445,0,39,12,956,2453,0,0,0
F966,0,39,12,957,1347,0,0,0
F713,0,39,12,958,913,0,0,0
F1075,0,39,12,958,1028,0,0,0
F1055,0,39,12,959,740,0,0,0
F923,0,40,12,960,3058,0,0,0
F626,0,40,12,960,1506,0,0,0
F471,0,40,12,960,730,0,0,0
F1072,0,40,12,960,1570,0,0,0
F942,0,40,12,960,1320,0,0,0
F939,0,40,12,960,892,0,0,0
F909,0,40,12,961,1563,0,0,0
F368,0,40,12,961,814,0,0,0
F861,0,40,12,962,2194,0,0,0
F843,0,40,12,962,864,0,0,0
F600,0,40,12,962,1518,0,0,0
F1133,0,40,12,962,1799,0,0,0
F501,0,40,12,963,1138,0,0,0
F729,0,40,12,963,1895,0,0,0
F1045,0,40,12,964,2077,0,0,0
F867,0,40,12,964,603,0,0,0
F259,0,40,12,964,1832,0,0,0
F786,0,40,12,964,1583,0,0,0
F545,0,40,12,964,1452,0,0,0
F659,0,40,12,964,629,0,0,0
F144,0,40,12,964,3003,0,0,0
F848,0,40,12,965,755,0,0,0
F1029,0,40,12,965,996,0,0,0
F262,0,40,12,965,947,0,0,0
F111,0,40,12,965,1124,0,0,0
F1104,0,40,12,965,2276,0,0,0
F615,0,40,12,965,1816,0,0,0
F327,0,40,12,965,1298,0,0,0
F981,0,40,12,974,1792,0,0,0
F25,0,40,12,974,1537,0,0,0
F948,0,40,12,977,1652,0,0,0
F598,0,40,12,977,974,0,0,0
F430,0,40,12,981,1304,0,0,0
F850,0,40,12,981,1775,0,0,0
F464,0,40,12,981,810,0,0,0
F762,0,40,12,983,2037,0,0,0
F213,0,41,12,985,690,0,0,0
F849,0,41,12,985,1013,0,0,0
F329,0,41,12,985,1914,0,0,0
F589,0,41,12,987,1210,0,0,0
F739,0,41,12,987,1478,0,0,0
F888,0,41,12,987,2581,0,0,0
F989,0,41,12,987,1004,0,0,0
F663,0,41,12,988,2044,0,0,0
F1026,0,41,12,988,1613,0,0,0
F169,0,41,12,988,924,0,0,0
F840,0,41,12,989,2308,0,0,0
F318,0,41,12,989,1200,0,0,0
F325,0,41,12,989,1401,0,0,0
F791,0,41,12,989,1618,0,0,0
F117,0,41,12,999,781,0,0,0
F73,0,41,12,1000,1383,0,0,0
F564,0,41,12,1000,2818,0,0,0
F1198,0,41,12,1000,1217,0,0,0
F859,0,41,12,1001,1506,0,0,0
F1067,0,41,12,1004,1590,0,0,0
F590,0,41,12,1004,869,0,0,0
F1165,0,41,12,1005,2287,0,0,0
F101,0,41,12,1005,2309,0,0,0
F35,0,41,12,1005,2613,0,0,0
F548,0,41,12,1006,979,0,0,0
F1046,0,41,12,1006,976,0,0,0
F593,0,41,12,1007,1345,0,0,0
F362,0,41,12,1007,1112,0,0,0
F1176,0,41,12,1007,1541,0,0,0
F5,0,41,12,1007,958,0,0,0
F895,0,41,12,1007,1440,0,0,0
F1039,0,41,12,1007,2771,0,0,0
F971,0,42,12,1008,694,0,0,0
F207,0,42,12,1008,2294,0,0,0
F1099,0,42,12,1009,1238,0,0,0
F736,0,42,12,1009,1090,0,0,0
F511,0,42,12,1009,1681,0,0,0
F999,0,42,12,1009,1780,0,0,0
F463,0,42,12,1009,1477,0,0,0
F337,0,42,12,1010,1027,0,0,0
F186,0,42,12,1011,824,0,0,0
F926,0,42,12,1011,1252,0,0,0
F379,0,42,12,1011,2687,0,0,0
F1130,0,42,12,1011,1556,0,0,0
F976,0,42,12,1012,1572,0,0,0
F835,0,42,12,1012,1494,0,0,0
F283,0,42,12,1012,1927,0,0,0
F759,0,42,12,1013,1915,0,0,0
F116,0,42,12,1013,1051,0,0,0
F278,0,42,12,1013,2023,0,0,0
F634,0,42,12,1013,1852,0,0,0
F194,0,42,12,1013,808,0,0,0
F1082,0,42,12,1020,1594,0,0,1594
F913,0,42,12,1020,1903,0,0,1903
F1060,0,42,12,1020,1186,0,0,1186
F636,0,42,12,1020,1253,0,0,1253
F272,0,42,12,1020,1059,0,0,1059
F653,0,42,12,1020,2118,0,0,2118
F173,0,42,12,1020,1521,0,0,1521
F1053,0,42,12,1020,2628,0,0,2628
F608,0,42,12,1020,609,0,0,609
F6,0,42,12,1020,856,0,0,856
F357,0,42,12,1020,2033,0,0,2033
F250,0,42,12,1020,1705,0,0,1705
F450,0,42,12,1020,2739,0,0,1204
F696,0,42,12,1020,2322,0,0,2322
F1161,0,42,12,1020,1315,0,0,1070
F1178,0,42,12,1020,1764,0,0,1764
F706,0,42,12,1020,1551,0,0,1551
F549,0,42,12,1020,973,0,0,973
F394,0,42,12,1020,1262,0,0,1262
F81,0,42,12,1020,892,0,0,892
F1040,0,42,12,1020,2505,0,0,2505
F132,0,42,12,1020,1301,0,0,1301
F267,0,42,12,1020,1003,0,0,1003
F301,0,42,12,1020,1161,0,0,1161
F547,0,42,12,1020,2322,0,0,2322
F623,0,42,12,1020,1163,0,0,1163
F415,0,42,12,1020,1579,0,0,1579
F609,0,42,12,1020,1860,0,0,1860
F345,0,42,12,1020,1234,0,0,1234
F190,0,42,12,1020,1553,0,0,1553
F20,0,42,12,1020,1078,0,0,1078
F824,0,42,12,1020,1853,0,0,636
F1048,0,42,12,1020,2236,0,0,2236
F654,0,42,12,1020,1509,0,0,1509
F758,0,42,12,1020,1048,0,0,1048
F432,0,42,12,1020,1764,0,0,1764
F771,0,42,12,1020,1722,0,0,1722
F621,0,42,12,1020,2308,0,0,2308
F793,0,42,12,1020,2171,0,0,2171
F33,0,42,12,1020,863,0,0,863
F1074,0,42,12,1020,1759,0,0,1759
F489,0,42,12,1020,936,0,0,936
F424,0,42,12,1020,1196,0,0,1196
F845,0,42,12,1020,1238,0,0,1238
F1121,0,42,12,1020,1423,0,0,1423
F695,0,42,12,1020,879,0,0,879
F643,0,42,12,1020,1332,0,0,1332
F160,0,42,12,1020,1677,0,0,1677
F208,0,42,12,1020,1256,0,0,1256
F899,0,42,12,1020,1794,0,0,1794
F417,0,42,12,1020,883,0,0,883
F80,0,42,12,1020,2585,0,0,2585
F177,0,42,12,1020,974,0,0,974
F810,0,42,12,1020,1852,0,0,1852
F487,0,42,12,1020,2074,0,0,2074
F1101,0,42,12,1020,1547,0,0,955
F483,0,42,12,1020,1433,0,0,1433
F670,0,42,12,1020,1009,0,0,1009
F628,0,42,12,1020,1917,0,0,1917
F367,0,42,12,1020,1027,0,0,1027
F1011,0,42,12,1020,4065,0,0,4065
F675,0,42,12,1020,1065,0,0,1065
F40,0,42,12,1020,840,0,0,840
F833,0,42,12,1020,979,0,0,793
F918,0,42,12,1020,1413,0,0,1413
F1043,0,42,12,1020,1434,0,0,1434
F1162,0,42,12,1020,1280,0,0,1280
F905,0,42,12,1020,1064,0,0,809
F933,0,42,12,1020,1320,0,0,1320
F385,0,42,12,1020,2688,0,0,2688
F868,0,42,12,1020,1594,0,0,1594
F743,0,42,12,1020,1155,0,0,1155
F1014,0,42,12,1020,1179,0,0,1179
F556,0,42,12,1020,1500,0,0,1500
F812,0,42,12,1020,1474,0,0,1474
F1062,0,42,12,1020,883,0,0,614
F586,0,42,12,1020,925,0,0,925
F448,0,42,12,1020,2858,0,0,2858
F1027,0,42,12,1020,1045,0,0,1045
F258,0,42,12,1020,3676,0,0,3676
F216,0,42,12,1020,2808,0,0,2808
F783,0,42,12,1020,2385,0,0,2385
F231,0,42,12,1020,1422,0,0,1422
F1126,0,42,12,1020,1788,0,0,1788
F1190,0,42,12,1020,985,0,0,537
F191,0,42,12,1020,751,0,0,751
F240,0,42,12,1020,1648,0,0,1648
F1193,0,42,12,1020,1611,0,0,1611
F170,0,42,12,1020,3276,0,0,3276
F768,0,42,12,1020,2109,0,0,2109
F22,0,42,12,1020,1082,0,0,1082
F334,0,42,12,1020,1481,0,0,1481
F468,0,42,12,1020,1366,0,0,1366
F312,0,42,12,1020,2131,0,0,2131
F884,0,42,12,1020,2149,0,0,1574
F309,0,42,12,1020,775,0,0,775
F908,0,42,12,1020,933,0,0,933
F516,0,42,12,1020,1205,0,0,1205
F892,0,42,12,1020,1621,0,0,1621
F973,0,42,12,1020,1002,0,0,96
F806,0,42,12,1020,758,0,0,758
F1173,0,42,12,1020,2046,0,0,2046
F1146,0,42,12,1020,2348,0,0,291
F693,0,42,12,1020,1933,0,0,1933
F289,0,42,12,1020,1331,0,0,1331
F584,0,42,12,1020,691,0,0,206
F139,0,42,12,1020,1916,0,0,1916
F285,0,42,12,1020,1752,0,0,1752
F454,0,42,12,1020,710,0,0,710
F129,0,42,12,1020,2941,0,0,2941
F938,0,42,12,1020,1762,0,0,361
F459,0,42,12,1020,1905,0,0,1905
F518,0,42,12,1020,699,0,0,699
F179,0,42,12,1020,768,0,0,768
F1125,0,42,12,1020,1171,0,0,1171
F515,0,42,12,1020,1973,0,0,1973
F1120,0,42,12,1020,1597,0,0,1597
F1188,0,42,12,1020,1361,0,0,1361
F790,0,42,12,1020,1187,0,0,1187
F744,0,42,12,1020,2408,0,0,2408
F746,0,42,12,1020,2252,0,0,2252
F239,0,42,12,1020,849,0,0,849
F261,0,42,12,1020,1093,0,0,1093
F727,0,42,12,1020,1696,0,0,1696
F839,0,42,12,1020,1029,0,0,1029
F86,0,42,12,1020,2310,0,0,1808
F461,0,42,12,1020,1814,0,0,1814
F546,0,42,12,1020,1129,0,0,1129
F1023,0,42,12,1020,1980,0,0,1980
F320,0,42,12,1020,1284,0,0,1284
F324,0,42,12,1020,3053,0,0,3053
F927,0,42,12,1020,3011,0,0,3011
F576,0,42,12,1020,1215,0,0,1215
F956,0,42,12,1020,1017,0,0,1017
F988,0,42,12,1020,1462,0,0,1142
F925,0,42,12,1020,1135,0,0,1135
F1137,0,42,12,1020,1075,0,0,1075
F1156,0,42,12,1020,2061,0,0,2061
F568,0,42,12,1020,898,0,0,898
F1008,0,42,12,1020,1176,0,0,1176
F878,0,42,12,1020,2237,0,0,2237
F157,0,42,12,1020,1510,0,0,1510
F74,0,42,12,1020,644,0,0,644
F708,0,42,12,1020,2436,0,0,2436
F1119,0,42,12,1020,1313,0,0,1313
F67,0,42,12,1020,2205,0,0,2205
F870,0,42,12,1020,915,0,0,915
F753,0,42,12,1020,967,0,0,967
F474,0,42,12,1020,3194,0,0,3194
F857,0,42,12,1020,3242,0,0,3242
F1108,0,42,12,1020,2176,0,0,702
F552,0,42,12,1020,1274,0,0,1274
F738,0,42,12,1020,1740,0,0,1740
F331,0,42,12,1020,1715,0,0,1715
F297,0,42,12,1020,1906,0,0,1906
F55,0,42,12,1020,753,0,0,753
F898,0,42,12,1020,1693,0,0,1693
F381,0,42,12,1020,810,0,0,810
F719,0,42,12,1020,2517,0,0,2517
F1016,0,42,12,1020,1917,0,0,1917
F612,0,42,12,1020,1206,0,0,1206
F1141,0,42,12,1020,1146,0,0,1146
F766,0,42,12,1020,1181,0,0,1181
F165,0,42,12,1020,1862,0,0,1862
F860,0,42,12,1020,2590,0,0,2296
F302,0,42,12,1020,1392,0,0,1392
F536,0,42,12,1020,835,0,0,835
F920,0,42,12,1020,1004,0,0,1004
F740,0,42,12,1020,1353,0,0,1353
F1064,0,42,12,1020,2178,0,0,2178
