farmStrID,d0,d1,t0,t1,size,sizeInf,sizeDead,sizeRemoved
F988,0,33,12,792,1130,0,0,0
F247,0,33,12,793,1155,0,0,0
F909,0,33,12,793,1240,0,0,0
F1006,0,33,12,797,1769,0,0,0
F867,0,33,12,808,847,0,0,0
F18,0,33,12,809,1963,0,0,0
F1100,0,33,12,809,648,0,0,0
F504,0,33,12,811,873,0,0,0
F982,0,33,12,812,1687,0,0,0
F632,0,33,12,813,2419,0,0,0
F1186,0,33,12,814,1372,0,0,0
F82,0,33,12,814,1795,0,0,0
F58,0,34,12,816,998,0,0,0
F650,0,34,12,816,673,0,0,0
F932,0,34,12,816,1452,0,0,0
F998,0,34,12,818,1064,0,0,0
F1046,0,34,12,818,1667,0,0,0
F127,0,34,12,818,1261,0,0,0
F375,0,34,12,819,1434,0,0,0
F912,0,34,12,819,1062,0,0,0
F841,0,34,12,819,1537,0,0,0
F1126,0,34,12,820,1101,0,0,0
F214,0,34,12,821,978,0,0,0
F457,0,34,12,821,1269,0,0,0
F354,0,34,12,821,1924,0,0,0
F741,0,34,12,821,1898,0,0,0
F938,0,34,12,828,915,0,0,0
F789,0,34,12,829,692,0,0,0
F1075,0,34,12,829,1156,0,0,0
F821,0,34,12,830,782,0,0,0
F625,0,34,12,831,663,0,0,0
F459,0,34,12,831,2731,0,0,0
F954,0,34,12,831,1381,0,0,0
F829,0,34,12,835,886,0,0,0
F915,0,34,12,835,1556,0,0,0
F215,0,34,12,836,1133,0,0,0
F148,0,34,12,836,1159,0,0,0
F497,0,34,12,837,1047,0,0,0
F949,0,34,12,837,1436,0,0,0
F395,0,34,12,839,997,0,0,0
F1119,0,34,12,839,609,0,0,0
F819,0,34,12,839,1161,0,0,0
F1052,0,35,12,840,1685,0,0,0
F34,0,35,12,841,1332,0,0,0
F1048,0,35,12,841,1042,0,0,0
F757,0,35,12,841,726,0,0,0
F1113,0,35,12,842,933,0,0,0
F750,0,35,12,842,836,0,0,0
F107,0,35,12,844,1007,0,0,0
F805,0,35,12,844,2720,0,0,0
F17,0,35,12,844,627,0,0,0
F335,0,35,12,845,1920,0,0,0
F1129,0,35,12,845,1781,0,0,0
